매장명,위도,경도,구,주소,전화번호,매장타입
마곡나루역,37.56813,126.82614,강서구,서울특별시 강서구 마곡중앙로 161-17 (마곡동),1522-3232,general
마곡GMG,37.560487,126.829667,강서구,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",1522-3232,general
가양역,37.561640,126.853327,강서구,서울특별시 강서구 양천로 476 (등촌동),1522-3232,general
화곡DT,37.5350107501795,126.86318804786,강서구,서울특별시 강서구 등촌로 57 (화곡동),1522-3232,generalDT
양천향교역,37.566964,126.840731,강서구,서울특별시 강서구 강서로 463 (마곡동),1522-3232,general
화곡동,37.540619019726435,126.83738800870792,강서구,서울특별시 강서구 화곡로 142(화곡동),1522-3232,general
등촌,37.5582043,126.84433919999992,강서구,서울특별시 강서구 공항대로 329 (등촌동),1522-3232,general
염창역,37.547359,126.874436,강서구,서울특별시 강서구 공항대로 627 (염창동),1522-3232,general
발산역,37.560301448004914,126.83913349547197,강서구,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,1522-3232,general
까치산역,37.5323235082489,126.84612332664443,강서구,서울특별시 강서구 강서로13길 3 (화곡동),1522-3232,general
염창대로,37.5485479128966,126.878259347206,강서구,"서울특별시 강서구 양천로 744 (염창동), 101호",1522-3232,general
발산역5번출구,37.5579224739977,126.84054030692,강서구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부",1522-3232,general
화곡역8번출구,37.54227920628,126.839299954553,강서구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부",1522-3232,general
강서우장산,37.54661114997271,126.83611326062484,강서구,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호",1522-3232,general
등촌대로,37.5504921817371,126.8665095756118,강서구,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",1522-3232,general
가양역사거리,37.56007,126.855372,강서구,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",1522-3232,general
내발산,37.55467,126.83672,강서구,"서울특별시 강서구 강서로 323 (내발산동), 101/102호",1522-3232,general
마곡웰튼,37.5671428910102,126.825315150636,강서구,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",1522-3232,general
김포공항DT,37.56627942080141,126.8060664470359,강서구,서울특별시 강서구 개화동로 517 (방화동),1522-3232,generalDT
강서NC,37.560088,126.840534,강서구,서울특별시 강서구 강서로56길 17 (등촌동),1522-3232,general
마곡나루공원,37.567007,126.822246,강서구,서울특별시 강서구 마곡중앙5로 47 (마곡동),1522-3232,general
송정역,37.56105570786667,126.81150987871888,강서구,"서울특별시 강서구 공항대로 38 (공항동), 1층 일부",1522-3232,general
강서구청사거리,37.5549266,126.8523133,강서구,서울특별시 강서구 화곡로 350 (화곡동),1522-3232,general
낙성대역,37.477760129939064,126.96114261955485,관악구,서울특별시 관악구 남부순환로 1908 (봉천동),1522-3232,general
관악서울대입구R,37.47932480888598,126.95270199623682,관악구,서울특별시 관악구 관악로 158 (봉천동),1522-3232,reserve
신림DT,37.480935,126.908407,관악구,서울특별시 관악구 남부순환로 1419 (신림동),1522-3232,generalDT
서울대역,37.48166265091104,126.9520164977362,관악구,서울특별시 관악구 남부순환로 1817 (봉천동),1522-3232,general
낙성대DT,37.476243169019526,126.96511724631266,관악구,서울특별시 관악구 남부순환로 1948 (봉천동),1522-3232,generalDT
사당,37.476137,126.980928,관악구,서울특별시 관악구 남부순환로 2082-25,1522-3232,general
보라매대교,37.491449,126.925432,관악구,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,1522-3232,general
신림,37.48609493,126.9291602,관악구,서울특별시 관악구 신림로 355-1 (신림동),1522-3232,general
신림타임스트림,37.48407101920536,126.93025831103377,관악구,서울특별시 관악구 신림로 330 타임스트림 1층,1522-3232,general
서울대입구역,37.481207389699065,126.95140060487287,관악구,서울특별시 관악구 남부순환로 1812 (봉천동),1522-3232,general
서울대입구역8번출구,37.4812061,126.9536942,관악구,서울특별시 관악구 남부순환로 1831 (봉천동),1522-3232,general
