,지역,정보공시 학교코드,학교명,설립구분,제외여부,1학년 학생수,2학년 학생수,3학년 학생수,4학년 학생수,5학년 학생수,6학년 학생수,학생수(계),교사수
26,부산광역시 남구,S020000655,우암초등학교,공립,N,41,37,50,54,51,58,297,18
27,부산광역시 남구,S020000656,운산초등학교,공립,N,89,76,75,81,80,73,480,30
28,부산광역시 동구,S020000660,초량초등학교,공립,N,17,42,25,46,35,47,217,17
29,부산광역시 금정구,S020000800,공덕초등학교,공립,N,7,13,17,7,7,4,56,10
30,부산광역시 동래구,S020000801,교동초등학교,공립,N,127,128,157,150,154,172,894,47
31,부산광역시 금정구,S020000802,구서초등학교,공립,N,50,78,104,83,90,104,515,30
32,부산광역시 동래구,S020000803,금강초등학교,공립,N,106,104,105,103,103,108,641,41
33,부산광역시 금정구,S020000804,금사초등학교,공립,N,40,46,66,40,58,49,310,24
34,부산광역시 금정구,S020000805,금성초등학교,공립,N,10,4,12,4,10,13,54,9
35,부산광역시 금정구,S020000806,금양초등학교,공립,N,84,103,130,133,135,161,757,43
36,부산광역시 금정구,S020000807,금정초등학교,공립,N,149,147,186,159,153,175,977,46
37,부산광역시 동래구,S020000808,낙민초등학교,공립,N,84,104,142,88,102,80,602,33
38,부산광역시 금정구,S020000809,남산초등학교,공립,N,49,61,57,79,67,77,395,23
39,부산광역시 동래구,S020000810,내산초등학교,공립,N,25,35,37,37,38,40,223,17
40,부산광역시 동래구,S020000811,내성초등학교,공립,N,16,18,20,19,26,32,141,14
41,부산광역시 동래구,S020000812,달북초등학교,공립,N,87,97,104,86,91,96,565,29
42,부산광역시 금정구,S020000813,동래초등학교,사립,N,112,112,109,105,91,95,624,23
43,부산광역시 금정구,S020000814,동상초등학교,공립,N,19,13,18,20,22,18,114,9
44,부산광역시 금정구,S020000815,동현초등학교,공립,N,44,57,41,58,50,66,320,21
45,부산광역시 동래구,S020000816,명동초등학교,공립,N,79,86,99,88,84,61,501,29
46,부산광역시 동래구,S020000817,명륜초등학교,공립,N,161,175,210,201,200,240,1193,55
47,부산광역시 동래구,S020000818,명서초등학교,공립,N,10,13,13,24,16,26,108,9
48,부산광역시 동래구,S020000819,명장초등학교,공립,N,57,73,59,60,60,63,379,22
49,부산광역시 동래구,S020000820,미남초등학교,공립,N,33,45,45,47,54,60,292,17
50,부산광역시 금정구,S020000821,부곡초등학교,공립,N,66,74,85,75,73,88,469,27
51,부산광역시 동래구,S020000822,사직초등학교,공립,N,119,139,167,190,181,247,1049,53
52,부산광역시 금정구,S020000824,서동초등학교,공립,N,15,8,13,15,8,11,71,10
53,부산광역시 금정구,S020000825,서명초등학교,공립,N,3,4,10,3,10,5,41,9
54,부산광역시 동래구,S020000826,수안초등학교,공립,N,27,30,32,36,30,50,211,15
55,부산광역시 동래구,S020000827,안남초등학교,공립,N,101,121,136,138,148,156,807,42
56,부산광역시 동래구,S020000828,안락초등학교,공립,N,24,35,36,33,36,46,215,14
57,부산광역시 동래구,S020000829,안민초등학교,공립,N,89,98,120,129,97,149,687,35
58,부산광역시 동래구,S020000830,여고초등학교,공립,N,122,133,185,196,180,236,1058,44
59,부산광역시 동래구,S020000831,온천초등학교,공립,N,143,161,131,175,141,197,960,53
60,부산광역시 금정구,S020000832,장서초등학교,공립,N,92,85,117,115,93,124,633,35
61,부산광역시 금정구,S020000833,장전초등학교,공립,N,51,71,97,74,101,104,505,29
62,부산광역시 금정구,S020000834,청룡초등학교,공립,N,56,59,72,78,82,83,441,27
63,부산광역시 금정구,S020000835,현곡초등학교,공립,N,9,12,20,14,16,19,96,9
64,부산광역시 동래구,S020000836,혜화초등학교,사립,N,60,60,61,58,51,57,347,12
65,부산광역시 부산진구,S020000989,가남초등학교,공립,N,6,13,13,7,7,12,60,9
66,부산광역시 부산진구,S020000990,가산초등학교,공립,N,0,4,8,6,5,10,36,8
67,부산광역시 부산진구,S020000991,가야초등학교,공립,N,147,185,165,178,156,195,1038,55
68,부산광역시 부산진구,S020000992,가평초등학교,공립,N,66,98,102,98,107,108,585,30
69,부산광역시 부산진구,S020000993,개금초등학교,공립,N,72,86,110,131,90,86,582,33
70,부산광역시 부산진구,S020000995,개림초등학교,공립,N,110,121,131,115,141,138,763,38
71,부산광역시 부산진구,S020000996,개원초등학교,공립,N,66,74,80,90,99,94,509,29
72,부산광역시 부산진구,S020000997,개포초등학교,공립,N,30,41,47,53,34,54,262,15
73,부산광역시 부산진구,S020000998,개화초등학교,공립,N,22,22,32,33,43,35,189,13
74,부산광역시 연제구,S020000999,거제초등학교,공립,N,154,126,135,121,89,116,749,41
75,부산광역시 연제구,S020001000,거학초등학교,공립,N,66,96,104,115,99,113,599,32
76,부산광역시 연제구,S020001001,과정초등학교,공립,N,65,87,76,92,74,68,468,26
77,부산광역시 연제구,S020001002,남문초등학교,공립,N,109,157,186,153,208,203,1022,48
78,부산광역시 부산진구,S020001003,당감초등학교,공립,N,24,16,33,37,43,58,214,14
