"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001448","괴정초등학교","02","공립","N","","4","84","21","5","110","22","3","79","26.3","4","96","24","4","89","22.3","4","85","21.3","2","9","4.5","0","0","0","26","552","21.2","30","18.4"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001449","구덕초등학교","02","공립","N","","3","59","19.7","3","66","22","4","88","22","3","81","27","4","81","20.3","3","77","25.7","1","3","3","0","0","0","21","455","21.7","24","19"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001450","구평초등학교","02","공립","N","","6","134","22.3","6","142","23.7","5","115","23","4","101","25.3","4","98","24.5","6","131","21.8","1","2","2","0","0","0","32","723","22.6","38","19"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001451","낙동초등학교","02","공립","N","","5","108","21.6","6","137","22.8","8","183","22.9","6","152","25.3","6","141","23.5","8","183","22.9","1","10","10","0","0","0","40","914","22.9","48","19"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001452","남부민초등학교","02","공립","N","","1","11","11","1","15","15","1","16","16","1","18","18","1","25","25","1","17","17","1","4","4","0","0","0","7","106","15.1","9","11.8"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001453","남항초등학교","02","공립","N","","3","30","10","1","21","21","2","33","16.5","2","40","20","1","20","20","3","56","18.7","1","2","2","0","0","0","13","202","15.5","17","11.9"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001454","다대초등학교","02","공립","N","","5","105","21","5","113","22.6","5","100","20","5","113","22.6","6","126","21","6","136","22.7","2","11","5.5","0","0","0","34","704","20.7","40","17.6"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001455","다선초등학교","02","공립","N","","4","84","21","4","87","21.8","5","105","21","4","82","20.5","4","101","25.3","4","102","25.5","2","7","3.5","0","0","0","27","568","21","33","17.2"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001456","다송초등학교","02","공립","N","","1","13","13","1","23","23","2","27","13.5","2","28","14","2","30","15","2","45","22.5","1","6","6","0","0","0","11","172","15.6","13","13.2"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001457","당리초등학교","02","공립","N","","2","25","12.5","1","12","12","2","32","16","1","23","23","1","21","21","2","39","19.5","2","8","4","0","0","0","11","160","14.5","14","11.4"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001458","대교초등학교","02","공립","N","","3","61","20.3","4","78","19.5","3","68","22.7","2","49","24.5","3","54","18","3","57","19","1","6","6","0","0","0","19","373","19.6","23","16.2"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001459","대신초등학교","02","공립","N","","5","102","20.4","6","152","25.3","5","124","24.8","5","127","25.4","5","120","24","5","132","26.4","1","5","5","0","0","0","32","762","23.8","38","20.1"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001460","대평초등학교","02","공립","N","","2","22","11","2","40","20","2","45","22.5","2","35","17.5","2","43","21.5","2","47","23.5","1","6","6","0","0","0","13","238","18.3","17","14"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001461","동삼초등학교","02","공립","N","","4","75","18.8","3","75","25","3","71","23.7","3","75","25","3","65","21.7","3","64","21.3","1","5","5","0","0","0","20","430","21.5","24","17.9"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001462","동신초등학교","02","공립","N","","2","39","19.5","2","51","25.5","2","50","25","3","65","21.7","3","58","19.3","3","73","24.3","1","3","3","0","0","0","16","339","21.2","19","17.8"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001463","봉삼초등학교","02","공립","N","","1","1","1","1","6","6","1","4","4","1","7","7","1","5","5","1","11","11","1","5","5","0","0","0","7","39","5.6","10","3.9"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001464","봉학초등학교","02","공립","N","","2","31","15.5","2","31","15.5","2","25","12.5","1","21","21","2","30","15","2","32","16","1","4","4","0","0","0","12","174","14.5","14","12.4"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001465","부민초등학교","02","공립","N","","4","84","21","4","84","21","5","114","22.8","5","114","22.8","5","105","21","6","131","21.8","1","6","6","0","0","0","30","638","21.3","35","18.2"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001466","사남초등학교","02","공립","N","","3","75","25","3","58","19.3","3","64","21.3","2","44","22","2","53","26.5","2","38","19","1","5","5","0","0","0","16","337","21.1","18","18.7"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001467","사동초등학교","02","공립","N","","2","25","12.5","2","28","14","2","47","23.5","2","37","18.5","2","42","21","2","54","27","1","5","5","0","0","0","13","238","18.3","15","15.9"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001468","사하초등학교","02","공립","N","","5","112","22.4","6","148","24.7","7","169","24.1","7","160","22.9","7","158","22.6","8","197","24.6","1","5","5","0","0","0","41","949","23.1","49","19.4"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001469","상리초등학교","02","공립","N","","1","9","9","1","13","13","1","23","23","1","23","23","1","21","21","2","28","14","1","3","3","0","0","0","8","120","15","11","10.9"
