매장명,구,주소,위도,경도
스타벅스코엑스아셈타워,강남구,서울특별시 강남구 영동대로 517 (삼성동),37.513019,127.059838
스타벅스센터필드R,강남구,서울특별시 강남구 테헤란로 231 (역삼동),37.50369465391196,127.04172081609173
스타벅스도산사거리,강남구,서울특별시 강남구 언주로 727 (논현동),37.51966,127.0341
스타벅스강남세곡,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),37.467274319644,127.099929726
스타벅스대치삼성,강남구,서울특별시 강남구 영동대로 237 (대치동),37.500313,127.066961
스타벅스언주역,강남구,서울특별시 강남구 봉은사로 222 (역삼동),37.50777565616907,127.0365882862214
스타벅스강남역신분당역사,강남구,서울특별시 강남구 강남대로 396 (역삼동),37.4970572543978,127.028180714381
스타벅스삼성역,강남구,서울특별시 강남구 테헤란로 620 (대치동),37.509206962541256,127.06560851480327
스타벅스테헤란로아남타워,강남구,서울특별시 강남구 테헤란로 311 (역삼동),37.50383,127.04487
스타벅스강남논현,강남구,서울특별시 강남구 강남대로 512 (논현동),37.5078978596254,127.023338614644
스타벅스삼성동,강남구,서울특별시 강남구 영동대로96길 12 (삼성동),37.510843366121534,127.06363342044264
스타벅스청담역,강남구,서울특별시 강남구 삼성로 709 (청담동),37.5194407323478,127.049552661542
스타벅스압구정현대아파트,강남구,서울특별시 강남구 논현로175길 38 (신사동),37.52521971236768,127.0256601858147
스타벅스강남청담빌딩,강남구,서울특별시 강남구 선릉로 704 (청담동),37.517887,127.041375
스타벅스역삼이마트,강남구,서울특별시 강남구 역삼로 310 (역삼동),37.499367,127.048425
스타벅스케이스퀘어강남,강남구,서울특별시 강남구 강남대로94길 10 (역삼동),37.4991914625768,127.028204360257
스타벅스강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),37.466993809277,127.118330806807
스타벅스미아뉴타운,강북구,서울특별시 강북구 삼양로 161 (미아동),37.618319,127.021072
스타벅스강북구청사거리,강북구,서울특별시 강북구 도봉로 365 (수유동),37.639987861152015,127.0274331199793
스타벅스미아사거리역,강북구,서울특별시 강북구 도봉로 32 (미아동),37.611809,127.0306971
스타벅스수유역,강북구,서울특별시 강북구 도봉로 342 (번동),37.6380167,127.02613500000008
스타벅스미아역,강북구,서울특별시 강북구 도봉로 196 (미아동),37.626148,127.026578
스타벅스수유역5번출구,강북구,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)",37.636722675028174,127.02332208832507
스타벅스파라스파라서울,강북구,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,37.66419549576315,127.01040728594248
스타벅스발산역사거리,강서구,서울특별시 강서구 공항대로 248 (마곡동),37.558509,126.835096
스타벅스마곡역,강서구,서울특별시 강서구 공항대로 168 (마곡동),37.559611,126.826298
스타벅스우장산역,강서구,서울특별시 강서구 강서로 267 (내발산동),37.549510038804,126.8360616480306
스타벅스마곡사이언스타워R,강서구,서울특별시 강서구 마곡동로 62 (마곡동),37.5605261,126.833887
스타벅스방화DT,강서구,서울특별시 강서구 방화대로 375 (방화동),37.574456834773024,126.8164881237982
스타벅스마곡나루역,강서구,서울특별시 강서구 마곡중앙로 161-17 (마곡동),37.56813,126.82614
스타벅스마곡GMG,강서구,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",37.560487,126.829667
스타벅스가양역,강서구,서울특별시 강서구 양천로 476 (등촌동),37.56164,126.853327
스타벅스화곡DT,강서구,서울특별시 강서구 등촌로 57 (화곡동),37.5350107501795,126.86318804786
스타벅스양천향교역,강서구,서울특별시 강서구 강서로 463 (마곡동),37.566964,126.840731
스타벅스화곡동,강서구,서울특별시 강서구 화곡로 142(화곡동),37.54061901972644,126.83738800870792
스타벅스등촌,강서구,서울특별시 강서구 공항대로 329 (등촌동),37.5582043,126.84433919999992
스타벅스염창역,강서구,서울특별시 강서구 공항대로 627 (염창동),37.547359,126.874436
스타벅스발산역,강서구,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,37.560301448004914,126.83913349547196
스타벅스까치산역,강서구,서울특별시 강서구 강서로13길 3 (화곡동),37.5323235082489,126.84612332664445
스타벅스염창대로,강서구,"서울특별시 강서구 양천로 744 (염창동), 101호",37.5485479128966,126.878259347206
스타벅스발산역5번출구,강서구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부",37.5579224739977,126.84054030692
스타벅스화곡역8번출구,강서구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부",37.54227920628,126.839299954553
스타벅스강서우장산,강서구,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호",37.54661114997271,126.83611326062484
스타벅스등촌대로,강서구,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",37.5504921817371,126.8665095756118
스타벅스가양역사거리,강서구,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",37.56007,126.855372
스타벅스내발산,강서구,"서울특별시 강서구 강서로 323 (내발산동), 101/102호",37.55467,126.83672
스타벅스마곡웰튼,강서구,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",37.5671428910102,126.825315150636
스타벅스김포공항DT,강서구,서울특별시 강서구 개화동로 517 (방화동),37.56627942080141,126.8060664470359
스타벅스강서NC,강서구,서울특별시 강서구 강서로56길 17 (등촌동),37.560088,126.840534
